rank,trial,experiment,initial_test_f1,val_f1_mean,val_f1_std,val_f1_min,val_f1_max,test_f1_mean,test_f1_std,test_f1_min,test_f1_max,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,consistency_score,avg_epochs,avg_duration_sec
1,22,hgnn_trial22_h256_hd32_nl1_ah4_lr1.08e-03_wd1.79e-04_dr30,0.8705405499842762,0.9140246009175128,0.005495791019119798,0.9069973427812223,0.9223101729698036,0.8668148803906588,0.0060966084889861934,0.8572909109752306,0.8719932145886344,0.9427145987598042,0.00377697543937161,0.936627285421077,0.9466514722162487,0.9939403349166017,22.0,823.3260548114777
2,37,hgnn_trial37_h128_hd32_nl1_ah8_lr1.01e-03_wd1.05e-04_dr30,0.871146941264142,0.9047854683979961,0.0042075288367565186,0.9016587677725119,0.9121462264150944,0.8592445477661395,0.0074262546307585,0.8527883374603286,0.8702800422962786,0.937832390555869,0.003959239971599973,0.933145232707575,0.9438185555477201,0.9926284880936717,28.0,617.0666759967804
4,33,hgnn_trial33_h128_hd64_nl1_ah1_lr1.91e-03_wd2.21e-05_dr10,0.8555036416105538,0.9020701137092262,0.006090286231420795,0.8942848682262363,0.910583406625623,0.8566472621273936,0.009137285169321174,0.8426698038130168,0.8677530661747122,0.9355540042601284,0.005641966936040262,0.9278481861429534,0.9432069787367432,0.9909454488466471,17.8,411.9507881164551
3,34,hgnn_trial34_h128_hd32_nl1_ah4_lr1.38e-03_wd9.71e-05_dr10,0.8658624600474276,0.9005468314314898,0.0030436682936393414,0.8958579881656805,0.9033600951531371,0.8542742575863231,0.006873038688939431,0.8455808474517549,0.8626489843881148,0.9330087756289182,0.0042672805423182155,0.9276590231917914,0.9389720606602338,0.9931738775149953,16.8,376.64423098564146
7,50,hgnn_trial50_h512_hd32_nl2_ah1_lr1.06e-03_wd1.85e-06_dr50,0.8137191391348161,0.9006167102735698,0.005648448370099602,0.8954344624447718,0.9088209088209088,0.8252238005018355,0.005670894883538729,0.8186217371339762,0.8334810508029922,0.9109152971697275,0.006247428559932256,0.9042679540713567,0.9210038560886232,0.9943610828230289,30.0,7100.6537584781645
8,46,hgnn_trial46_h512_hd256_nl2_ah2_lr1.32e-03_wd5.85e-05_dr30,0.819873631875151,0.8957671672792333,0.01234820705022474,0.8781065088757396,0.9073966220151427,0.8241415782514373,0.01638267202856626,0.8070458047345567,0.8478830130930114,0.9059532889997767,0.012870130612639504,0.891885986907021,0.9209522955220697,0.9838813938101989,21.0,3758.0572012901307
5,30,hgnn_trial30_h512_hd64_nl2_ah4_lr1.11e-03_wd6.40e-06_dr40,0.8224319340492461,0.896206056759411,0.0037359987919855487,0.8925667828106852,0.9020999704229518,0.8212619497135396,0.00862498853388706,0.8122637255922034,0.8308944801207144,0.9048529643184008,0.007929481998629948,0.8973312518440373,0.9134503017545481,0.9914487657633545,23.6,5222.296217346191
9,6,hgnn_trial06_h256_hd64_nl2_ah4_lr1.05e-03_wd2.53e-04_dr10,0.8025874125874126,0.8991403390255781,0.007963512939769442,0.8914148967992821,0.9096755334697457,0.8164334650884826,0.013045681886891156,0.7982484710310136,0.8307880268784361,0.9056818968306917,0.007444611950286594,0.8959805080000841,0.9152963871526493,0.9871223162783811,17.8,1286.183953332901
6,17,hgnn_trial17_h512_hd256_nl2_ah4_lr1.16e-03_wd2.24e-04_dr20,0.8226505202114959,0.8882224140271608,0.008017689028758927,0.88240547782078,0.9016248153618907,0.8092723906648043,0.014812215307386812,0.7901359927470535,0.8282842384475778,0.8926358619184791,0.010175713368302424,0.8836487411607461,0.9093815816535676,0.9854039840238815,18.2,2960.3103404521944
10,12,hgnn_trial12_h128_hd128_nl3_ah2_lr1.96e-03_wd8.08e-06_dr30,0.7965509047085583,0.8812567450717401,0.007976807551911592,0.8741299303944315,0.8926987880579368,0.7880310351164104,0.009453424205480196,0.774332292750607,0.7999431757644635,0.8778257750733772,0.012045912461922048,0.8613459154224035,0.8943813587614216,0.9906351061091097,25.0,1614.8154425621033
